repo	default_branch	language
balajirajput96/B	main	unknown
balajirajput96/acting-career-automation	main	unknown
balajirajput96/ai-agent-hub	main	unknown
balajirajput96/ai-automation-platform	main	unknown
balajirajput96/antigravity-pharma-dashboard	main	unknown
balajirajput96/automation-control-center	main	unknown
balajirajput96/automation-control-center-app	main	unknown
balajirajput96/autonomous-ai-workspace	main	unknown
balajirajput96/balaji-free-selfhost-n8n	main	unknown
balajirajput96/balaji-professional-portfolio	main	unknown
balajirajput96/bulk-resume-sender	main	unknown
balajirajput96/career-monitoring-hub	main	unknown
balajirajput96/chatbot	main	unknown
balajirajput96/daily-research-reels-automation	main	unknown
balajirajput96/github-cockpit	main	unknown
balajirajput96/github-dashboard	main	unknown
balajirajput96/github-mcp-serve	main	unknown
balajirajput96/github-mcp-server-	main	unknown
balajirajput96/gmail-resume-mailer	main	unknown
balajirajput96/health-reels-automation	main	unknown
balajirajput96/infra-tools	main	unknown
balajirajput96/job-automation-orchestrator	main	unknown
balajirajput96/manus-advanced-demo	master	unknown
balajirajput96/neuro-pulse-content-studio	main	unknown
balajirajput96/orbit-console	main	unknown
balajirajput96/pharma-automation-logs	main	unknown
balajirajput96/pharma-outreach-automation	main	unknown
balajirajput96/pharma-qa-job-tracker	main	unknown
balajirajput96/private-content-automation-workspace	main	unknown
balajirajput96/professional-resume-balaji-rajput	main	unknown
balajirajput96/sellbuilding-ai-agent	main	unknown
balajirajput96/vscode-copilot-cha	main	unknown
